# ZDT 采样  2026-09-17 00:28:16
# 电机=[1, 2]  目标=20Hz  轮询等待=0.08s
# 角度 度 / 电压 mV / 电流 mA / speed_rpm 带符号 / *_flags 为位域原件
t_s,addr,bus_mv,phase_ma,encoder,target_deg,speed_rpm,pos_deg,err_deg,homing_flags,motor_status
6.147063,1,11039,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
6.161865,2,11184,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
6.20678,1,11008,12,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
6.221783,2,11217,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
6.266602,1,11028,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
6.28131,2,11162,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
6.327502,1,11031,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
6.341867,2,11211,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
6.388661,1,11028,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
6.40348,2,11186,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
6.448809,1,11032,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
6.464077,2,11200,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
6.509085,1,11051,14,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
6.524095,2,11181,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
6.569938,1,11032,14,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
6.584226,2,11182,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
6.628811,1,11039,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
6.644575,2,11196,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
6.688952,1,11058,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
6.702955,2,11165,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
6.748214,1,11041,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
6.763218,2,11195,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
6.809685,1,11021,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
6.824201,2,11199,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
6.870205,1,11050,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
6.885506,2,11215,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
6.930674,1,11032,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
6.945891,2,11184,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
6.990471,1,11035,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
7.005479,2,11211,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
7.052428,1,11037,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
7.066554,2,11161,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
7.112441,1,11034,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
7.126445,2,11153,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
7.17133,1,11040,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
7.186328,2,11202,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
7.232023,1,11073,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
7.247283,2,11184,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
7.292859,1,11024,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
7.306914,2,11174,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
7.353189,1,11043,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
7.367191,2,11215,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
7.412734,1,11037,12,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
7.427847,2,11201,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
7.473543,1,11043,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
7.48868,2,11168,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
7.534897,1,11033,12,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
7.549385,2,11168,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
7.594086,1,11045,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
7.609596,2,11162,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
7.653538,1,11018,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
7.668528,2,11175,14,36516,0.02197265625,0,0.02197265625,0.0,11,3
7.71476,1,11034,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
7.730099,2,11171,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
7.776139,1,11037,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
7.790558,2,11191,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
7.835789,1,11026,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
7.850795,2,11162,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
7.897213,1,11049,12,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
