# scope 实时采样  2026-09-17 01:19:34
# 电机=[1, 2]  目标=20Hz
# 角度 度 / 电压 mV / 电流 mA / speed_rpm 带符号
t_s,addr,bus_mv,phase_ma,encoder,target_deg,speed_rpm,pos_deg,err_deg,homing_flags,motor_status
2.609397,1,11013,15,27088,160.6256103515625,0,160.2520751953125,0.37353515625,3,3
2.612405,2,11115,17,3324,177.5665283203125,0,177.9400634765625,-0.3680419921875,3,3
2.66792,1,10969,15,27101,190.6622314453125,0,160.323486328125,0.3021240234375,3,1
2.699522,2,11118,16,3311,147.535400390625,0,177.86865234375,-0.296630859375,3,1
2.725526,1,10912,35,27221,190.6622314453125,2,160.982666015625,0.6866455078125,3,1
2.757288,2,11072,25,3171,147.535400390625,-2,177.099609375,-0.7305908203125,3,1
2.79361,1,10924,56,28045,190.6622314453125,6,162.696533203125,0.7745361328125,3,1
2.79765,2,11096,43,2393,147.535400390625,-11,172.825927734375,-0.8349609375,3,1
2.852794,1,10898,50,29051,190.6622314453125,17,171.03515625,0.90087890625,3,1
2.855777,2,11045,42,1275,147.535400390625,-17,166.6845703125,-0.9613037109375,3,1
2.908531,1,10915,46,30443,190.6622314453125,23,178.681640625,0.7470703125,3,1
2.940635,2,11052,45,65407,147.535400390625,-23,158.97216796875,-0.758056640625,3,1
2.990098,1,10922,54,32005,190.6622314453125,15,187.261962890625,0.0933837890625,3,1
3.002098,2,11080,42,63905,147.535400390625,-15,150.721435546875,-0.06591796875,3,1
3.042769,1,10927,48,32485,190.6622314453125,9,189.898681640625,0.0,3,3
3.05477,2,11069,38,63426,147.535400390625,-8,148.0902099609375,0.076904296875,3,3
3.123937,1,10962,60,32690,190.6622314453125,0,191.0247802734375,-0.3570556640625,3,3
3.12624,2,11117,31,63254,147.535400390625,0,147.1453857421875,0.384521484375,3,3
3.179985,1,10971,35,32690,190.6622314453125,0,191.0247802734375,-0.3570556640625,3,3
3.18423,2,11122,16,63254,147.535400390625,0,147.1453857421875,0.384521484375,3,3
3.264312,1,10961,15,32690,190.6622314453125,0,191.0247802734375,-0.3570556640625,3,3
3.286644,2,11118,16,63254,147.535400390625,0,147.1453857421875,0.384521484375,3,3
